hindi,target,lang
"बच्चों अपनी किताबें निकालो","होनको आपन पुथी ओलोंग पे","hoc"
"बच्चों अपनी किताबें निकालो","गिदराको आपनाः पुथी ओडोक पे","sat"
"बच्चों अपनी किताबें निकालो","होनको आपनाः पुथी ओलोंग पे","unr"
"आज हम गणित पढ़ेंगे","तेइसिंग बु गणित बु इतुआ","hoc"
"आज हम गणित पढ़ेंगे","तेहेंज आबो लेका बु पाढ़ावा","sat"
"आज हम गणित पढ़ेंगे","तिसिंग अबू लेखा बु इतुना","unr"
"पानी पीने के लिए बाहर जाओ","दाः नुइ लागी सेनोः मे","hoc"
"पानी पीने के लिए बाहर जाओ","दाः ञु लागी बाहर सेन मे","sat"
"पानी पीने के लिए बाहर जाओ","दाः नु लागी बाहेर सेन मे","unr"
"कक्षा में शांत बैठिए","क्लास रे थिर दुब पे","hoc"
"कक्षा में शांत बैठिए","क्लास रे थिर दुब पे","sat"
"कक्षा में शांत बैठिए","क्लास रे थिर दुब पे","unr"
"एक से दस तक गिनती गिनो","मिद एते गेल धरि लेखा पे","hoc"
"एक से दस तक गिनती गिनो","मिद खोन गेल धरि लेखा पे","sat"
"एक से दस तक गिनती गिनो","मिद एते गेल धरि लेखा पे","unr"
"अपना गृहकार्य दिखाओ","आपन ओड़ाः कामी उदय पे","hoc"
"अपना गृहकार्य दिखाओ","आपनाः ओड़ाः कामी उद्दुग पे","sat"
"अपना गृहकार्य दिखाओ","आपन ओड़ाः कामी उदय पे","unr"
